"id","category","name","profile-applicability","description","rationale","impact","audit","remediation","C","D","R","setting-name","expected-value","operator"
"2.3.3","app-service","Ensure 'Basic Authentication Publishing Credentials' are 'Disabled'","Level 1","Basic Authentication Publishing Credentials provides the ability to publish—or deploy to—a function app without a centralized Identity Provider. For a more effective, capable, and secure solution for Identity, Authentication, Authorization, and Accountability, a centralized Identity Provider such as Entra ID is strongly advised.","Basic Authentication introduces an identity silo for privileged access to a resource and produces logging which may not provide a full chain of accountability. This can be exploited in numerous ways and represents a significant vulnerability and attack vector. HINT: Ensure that false is returned.","Disabling 'Basic Auth Publishing Credentials' will prevent the following deployment methods from working: FTP Basic Auth Publishing Credentials: • FTP • FTPS SCM Basic Auth Publishing Credentials: • Local Git • GitHub • Azure Repos • Bitbucket • Visual Studio (Version 17.12 and earlier) If this recommendation cannot be implemented because one of the above listed deployment methods is necessary and cannot be adapted, compensating controls (e.g. using FTPS Only and disabling only ""SCM Basic Auth Publishing Credentials"") are recommended to reduce potential attack surface.","az functionapp list // az resource show --resource-group <resource-group-name> --name ftp -- namespace Microsoft.Web --resource-type basicPublishingCredentialsPolicies -- parent sites/<function-app-name> --query properties.allow // az resource show --resource-group <resource-group-name> --name scm -- namespace Microsoft.Web --resource-type basicPublishingCredentialsPolicies -- parent sites/<function-app-name> --query properties.allow","az resource update --resource-group <resource-group-name> --name ftp -- namespace Microsoft.Web --resource-type basicPublishingCredentialsPolicies -- parent sites/<function-app-name> --set properties.allow=false // az resource update --resource-group <resource-group-name> --name scm -- namespace Microsoft.Web --resource-type basicPublishingCredentialsPolicies -- parent sites/<function-app-name> --set properties.allow=false","1","0","1","properties.allow","false","custom"
"2.3.4","app-service","Ensure 'FTP state' is set to 'FTPS only' or 'Disabled'","Level 1","By default, App Service supports deployment over FTP. If FTP is essential for a deployment workflow, FTPS should be enforced for all function apps. If FTPS is not explicitly required, the recommended setting is Disabled.","FTP is an unencrypted network protocol that transmits data—including passwords—in clear text. The use of this protocol can lead to both data and credential compromise and can present opportunities for exfiltration, persistence, and lateral movement. HINT: Ensure that ""FtpsOnly"" or ""Disabled"" is returned.","Deployment workflows that rely on FTP or FTPS rather than WebDeploy or HTTPS endpoints may be affected.","az functionapp list // az functionapp show --resource-group <resource-group-name> --name <functionapp-name> --query siteConfig.ftpsState","az functionapp config set --resource-group <resource-group-name> --name <function-app-name> --ftps-state <FtpsOnly|Disabled>","1","0","1","ftpsState","FtpsOnly | Disabled","custom"
"2.3.5","app-service","Ensure 'HTTP version' is set to '2.0' (if in use)","Level 1","Periodically, newer versions are released for HTTP, either due to security flaws or to include additional functionalities. Using the latest HTTP version allows apps to take advantage of security fixes, if any, and/or new functionalities of the newer version.","Newer versions may contain security enhancements and additional functionalities. Using the latest version is recommended in order to take advantage of enhancements and new capabilities. With each software installation, organizations need to determine if a given update meets their requirements. They must also verify the compatibility and support provided for any additional software against the update revision that is selected. HTTP 2.0 has additional performance improvements for the head-of-line blocking problem of the old HTTP version, header compression, and request prioritization. HTTP 2.0 no longer supports HTTP 1.1's chunked transfer encoding mechanism, as it provides its own, more efficient mechanisms for data streaming. HINT: Ensure that true is returned.","Most modern browsers support the HTTP/2 protocol over TLS only, while non-encrypted traffic continues to use HTTP/1.1. To ensure that client browsers connect to your app with HTTP/2, either purchase an App Service Certificate for your app's custom domain or bind a third-party certificate. NOTE: HTTP/2 cannot be used in tandem with mutual authentication or client certificates","az functionapp list // az functionapp config show --resource-group <resource-group-name> --name <function-app-name> --query http20Enabled","az functionapp config set --resource-group <resource-group-name> --name <appname> --http20-enabled true","1","0","1","http20Enabled","true","eq"
"2.3.6","app-service","Ensure 'HTTPS Only' is set to 'On'","Level 1","Azure App Service allows function apps to run under both HTTP and HTTPS by default. Function apps can be accessed by anyone using non-secure HTTP links by default. Non-secure HTTP requests can be restricted and all HTTP requests redirected to the secure HTTPS port. It is recommended to enforce HTTPS-only traffic.","Enabling HTTPS-only traffic will redirect all non-secure HTTP requests to HTTPS ports. HTTPS uses the TLS/SSL protocol to provide a secure connection which is both encrypted and authenticated. It is therefore important to support HTTPS for the security benefits. HINT: Ensure that the command returns true.","When it is enabled, every incoming HTTP request is redirected to the HTTPS port. This means an extra level of security will be added to the HTTP requests made to the deployment slot.","az functionapp list // az functionapp show --resource-group <resource-group-name> --name <functionapp-name> --query ""httpsOnly""","az resource update --resource-group <resource-group-name> --name <functionapp-name> --resource-type ""Microsoft.Web/sites"" --set properties.httpsOnly=true","1","0","1","httpsOnly","true","eq"
"2.3.7","app-service","Ensure 'Minimum Inbound TLS Version' is set to '1.2' or higher","Level 1","The TLS (Transport Layer Security) protocol secures the transmission of data over the internet using standard encryption technology. Function apps use TLS 1.2 for the Minimum Inbound TLS Version by default and allow for the use of TLS versions 1.0, 1.1, and 1.3. NIST strongly suggests the use of TLS 1.2 and recommends the adoption of TLS 1.3. HINT: Ensure that ""1.2"" or higher is returned.","TLS 1.0 and 1.1 are outdated and vulnerable to security risks. Since TLS 1.2 and TLS 1.3 provide enhanced security and improved performance, it is highly recommended to use TLS 1.2 or higher whenever possible. HINT: Ensure ""TLSv1_2"" or higher is returned","Using the latest TLS version may affect compatibility with clients and backend services.","az functionapp list // az functionapp config show --resource-group <resource-group-name> --name <function-app-name> --query minTlsVersion","az functionapp config set --resource-group <resource-group-name> --name <function-app-name> --min-tls-version <1.2|1.3>","1","0","1","minTlsVersion","1.2","eq"
"2.3.8","app-service","Ensure end-to-end TLS encryption is enabled","Level 1","End-to-end (E2E) TLS encryption ensures that front-end to worker communication within function apps is encrypted using TLS. Without this feature, while incoming HTTPS requests are encrypted to the front ends, the traffic from front ends to workers running the application workloads would travel unencrypted inside Azure’s infrastructure.","E2E TLS helps ensure full encryption of traffic between: • Clients and front ends • Front ends and worker processes hosting the application. HINT: Ensure that the command returns true","Enabling end-to-end TLS encryption may introduce minimal latency and require additional configuration of certificates and HTTPS settings to ensure compatibility.","az functionapp list // az functionapp show --resource-group <resource-group-name> --name <functionapp-name> --query endToEndEncryptionEnabled","az resource update --resource-group <resource-group-name> --name <functionapp-name> --resource-type ""Microsoft.Web/sites"" --set properties.endToEndEncryptionEnabled=true","2","0","2","","TLS abilitato su backend e listener","custom"
"2.3.9","app-service","Ensure 'Remote debugging' is set to 'Off'","Level 1","Remote debugging allows a function app to be debugged in real-time directly in the Azure environment. When remote debugging is enabled, it opens a communication channel that could potentially be exploited by unauthorized users if not properly secured.","Disabling remote debugging on a function app is primarily about enhancing security. Remote debugging opens a communication channel that can be exploited by attackers. By disabling it, you reduce the number of potential entry points for unauthorized access. If remote debugging is enabled without proper access controls, it can allow unauthorized users to connect to your function app, potentially leading to data breaches or malicious code execution. During a remote debugging session, sensitive information might be exposed. Disabling remote debugging helps ensure that such data remains secure. This minimizes the use of remote access tools to reduce risk. HINT: Ensure that false is returned.","You will not be able to connect to your function app from a remote location to diagnose and fix issues in real-time. You will not be able to step through code, set breakpoints, or inspect variables and the call stack while the function app is running on the server. Remote debugging is particularly useful for diagnosing issues that only occur in the production environment. Without it, you will need to rely on logs and other diagnostic tools.","az functionapp list // az functionapp show --resource-group <resource-group-name> --name <functionapp-name> --query siteConfig.remoteDebuggingEnabled","az functionapp config set --resource-group <resource-group-name> --name <function-app-name> --remote-debugging-enabled false","1","0","1","remoteDebuggingEnabled","false","eq"
"2.3.10","app-service","Ensure incoming client certificates are enabled and required (if in use)","Level 2","Client certificates allow for the function app to request a certificate for incoming requests. Only clients that have a valid certificate will be able to reach the app.","The TLS mutual authentication technique in enterprise environments ensures the authenticity of clients to the server. If incoming client certificates are enabled, then only an authenticated client with valid certificates can access the app. HINT: Ensure that [true,""Required""] is returned.","Utilizing and maintaining client certificates will require additional work to obtain and manage replacement and key rotation.","az functionapp list // az functionapp show --resource-group <resource-group-name> --name <functionapp-name> --query ""[clientCertEnabled, clientCertMode]""","az resource update --resource-group <resource-group-name> --name <functionapp-name> --resource-type ""Microsoft.Web/sites"" --set properties.clientCertEnabled=true --set properties.clientCertMode=Required","1","0","1","clientCertEnabled","true","eq"
"2.3.11","app-service","Ensure 'App Service authentication' is set to 'Enabled'","Level 2","App Service authentication can prevent anonymous HTTP requests from reaching an app, or authenticate those with tokens before they reach the app. If an anonymous request is received from a browser, App Service will redirect to a login page. To handle the login process, a choice from a set of identity providers can be made, or a custom authentication mechanism can be implemented.","By enabling authentication, every incoming HTTP request passes through it before being handled by the application code. It also handles authentication of users with the specified provider (Entra ID, Facebook, Google, Microsoft Account, and Twitter), validation, storage and refreshing of tokens, managing the authenticated sessions, and injecting identity information into request headers. HINT: Ensure that true is returned.","This is only required for apps that require authentication. Enabling it on a site like a marketing or support website will prevent unauthenticated access, which would be undesirable. Adding an authentication requirement will increase costs and require additional security components to facilitate the authentication.","az functionapp list // az webapp auth show --resource-group <resource-group-name> --name <functionapp-name> --query enabled","az webapp auth update --resource-group <resource-group-name> --name <function-app-name> --enabled true","2","0","1","auth.enabled","true","eq"
"2.3.12","app-service","Ensure managed identities are configured","Level 1","Managed identities from Microsoft Entra ID allow function apps to securely access other Azure services without the need to provision or rotate any secrets.","Using managed identities with function apps eliminates the need to store and manage credentials to access Azure resources. HINT: Ensure that type is set to SystemAssigned, UserAssigned, or both.","Minor administrative overhead to configure and manage role assignments for managed identities","az functionapp list // az functionapp show --resource-group <resource-group-name> --name <functionapp-name> --query ""identity""","az functionapp identity assign --resource-group <resource-group-name> --name <function-app-name>","1","0","2","identity.type","SystemAssigned | UserAssigned","custom"
"2.3.13","app-service","Ensure public network access is disabled","Level 1","Disable public network access to prevent exposure to the internet and reduce the risk of unauthorized access. Use private endpoints to securely manage access within trusted networks.","Disabling public network access improves security by ensuring that the service is not directly exposed to the public Internet. This has the added benefit of providing more granular control over security settings and configurations for those additional layers of separation. HINT: Ensure that the command returns ""Disabled"".","NOTE: Prior to disabling public network access, it is strongly recommended that, for each function app, either: • complete virtual network integration as described in ""Ensure app is integrated with a virtual network"" OR • set up private endpoints/links as described in ""Ensure private endpoints are used to access App Service apps."" Disabling public network access restricts direct access to the service. This enhances security but will require the configuration of a virtual network and/or private endpoints for any services or users needing access within trusted networks.","az functionapp list // az functionapp show --resource-group <resource-group-name> --name <functionapp-name> --query ""publicNetworkAccess""","az resource update --resource-group <resource-group-name> --name <functionapp-name> --resource-type ""Microsoft.Web/sites"" --set properties.publicNetworkAccess=Disabled","2","1","2","publicNetworkAccess","Disabled","eq"
"2.3.14","app-service","Ensure function app is integrated with a virtual network","Level 1","Integrate function apps with a virtual network to enable access to resources in or through a non-internet-routable virtual network. This recommendation does not apply to function apps created on the consumption hosting plan, which does not support virtual networking.","Integrate function apps with a virtual network for increased security and control. HINT: Ensure that a virtual network subnet ID is returned.","Additional configuration may be required to ensure that traffic is routed properly.","az functionapp list // az functionapp show --resource-group <resource-group-name> --name <functionapp-name> --query ""virtualNetworkSubnetId""","az functionapp vnet-integration add --resource-group <resource-group-name> -- name <function-app-name> --vnet <virtual-network-name> --subnet <subnet-name>","2","1","2","virtualNetworkSubnetId","","notempty"
"2.3.15","app-service","Ensure configuration is routed through the virtual network integration","Level 2","By default, configuration traffic for function apps goes directly over the public route. Container image pulls and content sharing can be routed through the virtual network integration. This recommendation should be applied after integrating a function app with a virtual network.","Route container image pulls and content sharing through a virtual network integration for increased security and control. HINT: Ensure that [true,true] is returned.","Additional configuration may be required to ensure that traffic is routed properly.","az functionapp list // az functionapp show --resource-group <resource-group-name> --name <functionapp-name> --query ""[vnetImagePullEnabled,vnetContentShareEnabled]""","az resource update --resource-group <resource-group-name> --name <functionapp-name> --resource-type ""Microsoft.Web/sites"" --set properties.vnetImagePullEnabled=true --set properties.vnetContentShareEnabled=true","2","1","2","vnetRouteAllEnabled","true","eq"
"2.3.16","app-service","Ensure all traffic is routed through the virtual network","Level 1","Enable vnetRouteAllEnabled to ensure all outbound traffic is routed through the integrated virtual network. This recommendation should be applied after integrating a function app with a virtual network.","Routing all outbound traffic through the virtual network enhances security. HINT: Ensure that true is returned.","Additional configuration may be required to ensure that traffic is routed properly.","az functionapp list // az functionapp show --resource-group <resource-group-name> --name <app-name> --query vnetRouteAllEnabled","az resource update --resource-group <resource-group-name> --name <functionapp-name> --resource-type ""Microsoft.Web/sites"" --set properties.vnetRouteAllEnabled=true","3","2","3","","Tutto il traffico egress instradato via VNet","custom"
"2.3.17","app-service","Ensure cross-origin resource sharing does not allow all origins","Level 2","Cross-origin resource sharing (CORS) is a security feature that controls how applications interact with resources hosted on different domains.","Restrict CORS to only trusted origins to help enforce proper access control and reduce exposure to malicious cross-origin requests. HINT: Ensure that the response does not include *.","Configuration is required to ensure that the appropriate origins have access. Setting up a proper CORS policy can be fairly complex and an incorrect setting could permit Cross-Site Request Forgery (CSRF). The ""caveat"" is that if the app being deployed is a PUBLIC API, a wildcard ""*"" CORS policy is absolutely necessary","az functionapp list // az functionapp show --resource-group <resource-group-name> --name <functionapp-name> --query siteConfig.cors.allowedOrigins","az functionapp cors remove --resource-group <resource-group-name> --name <function-app-name> --allowed-origins ""*"" // az functionapp cors add --resource-group <resource-group-name> --name <function-app-name> --allowed-origins <allowed-origins>","1","0","1","cors.allowedOrigins","Non contiene *","custom"
"6.1.1.1","management-and-governance-services","Ensure that a 'Diagnostic Setting' exists for Subscription Activity Logs","Level 1","Enable Diagnostic settings for exporting activity logs. Diagnostic settings are available for each individual resource within a subscription. Settings should be configured for all appropriate resources for your environment.","A diagnostic setting controls how a diagnostic log is exported. By default, logs are retained only for 90 days. Diagnostic settings should be defined so that logs can be exported and stored for a longer duration to analyze security activities within an Azure subscription.","-","az monitor diagnostic-settings subscription list --subscription <subscription-id>","az monitor diagnostic-settings subscription create --subscription <subscription id> --name <diagnostic settings name> --location <location> <[- -event-hub <event hub ID> --event-hub-auth-rule <event hub auth rule ID>] [-- storage-account <storage account ID>] [--workspace <log analytics workspace ID>] --logs ""<JSON encoded categories>"" (e.g. [{category:Security,enabled:true},{category:Administrative,enabled:true},{cat egory:Alert,enabled:true},{category:Policy,enabled:true}])","2","0","1","","Almeno 1 Diagnostic Setting attivo","custom"
"6.1.1.2","management-and-governance-services","Ensure Diagnostic Setting captures appropriate categories","Level 1","-","A diagnostic setting controls how the diagnostic log is exported. Capturing the diagnostic setting categories for appropriate control/management plane activities allows proper alerting.  HINT: Ensure the categories 'Administrative', 'Alert', 'Policy', and 'Security' set to: 'enabled: true'","-","az monitor diagnostic-settings subscription list --subscription <subscription ID>","az monitor diagnostic-settings subscription create --subscription <subscription id> --name <diagnostic settings name> --location <location> <[- -event-hub <event hub ID> --event-hub-auth-rule <event hub auth rule ID>] [-- storage-account <storage account ID>] [--workspace <log analytics workspace ID>] --logs ""[{category:Security,enabled:true},{category:Administrative,enabled:true},{ca tegory:Alert,enabled:true},{category:Policy,enabled:true}]""","1","0","1","logs[*].category","Administrative;Security;Alert;Policy","custom"
"6.1.1.4","management-and-governance-services","Ensure that logging for Azure Key Vault is 'Enabled'","Level 1","Enable AuditEvent logging for key vault instances to ensure interactions with key vaults are logged and available.","Monitoring how and when key vaults are accessed, and by whom, enables an audit trail of interactions with confidential information, keys, and certificates managed by Azure Key Vault. Enabling logging for Key Vault saves information in a user provided destination of either an Azure storage account or Log Analytics workspace. The same destination can be used for collecting logs for multiple Key Vaults.","-","az keyvault list","az monitor diagnostic-settings update --name ""<diagnostic_setting_name>"" -- resource <key_vault_id>","1","0","1","logs[0].enabled","true","custom"
"6.1.2.1","management-and-governance-services","Ensure that Activity Log Alert exists for Create Policy Assignment","Level 1","Create an activity log alert for the Create Policy Assignment event.","Monitoring for create policy assignment events gives insight into changes done in ""Azure policy - assignments"" and can reduce the time it takes to detect unsolicited changes.  HINT: Look for Microsoft.Authorization/policyAssignments/write in the output. If it's missing, generate a finding. If the output is empty, an alert rule for Create Policy Assignments is not configured.","-","az monitor activity-log alert list --subscription <subscription ID> --query ""[].{Name:name,Enabled:enabled,Condition:condition.allOf,Actions:actions}""","az monitor activity-log alert create --resource-group ""<resource group name>"" --condition “category=Administrative and operationName=Microsoft.Authorization/policyAssignments/write” --scope ""/subscriptions/<subscription ID>"" --name ""<activity log rule name>"" -- subscription <subscription ID> --action-group <action group ID>","1","0","1","condition.allOf[*].equals","Microsoft.Authorization/policyAssignments/write","eq"
"6.1.2.2","management-and-governance-services","Ensure that Activity Log Alert exists for Delete Policy Assignment","Level 1","Create an activity log alert for the Delete Policy Assignment event.","Monitoring for delete policy assignment events gives insight into changes done in ""azure policy - assignments"" and can reduce the time it takes to detect unsolicited changes. HINT: Look for Microsoft.Authorization/policyAssignments/delete in the output","-","az monitor activity-log alert list --subscription <subscription ID> --query ""[].{Name:name,Enabled:enabled,Condition:condition.allOf,Actions:actions}""","az monitor activity-log alert create --resource-group ""<resource group name>"" --condition category=Administrative and operationName=Microsoft.Authorization/policyAssignments/delete and level=<verbose | information | warning | error | critical> --scope ""/subscriptions/<subscription ID>"" --name ""<activity log rule name>"" -- subscription <subscription id> --action-group <action group ID>","1","0","1","condition.allOf[*].equals","Microsoft.Authorization/policyAssignments/delete","eq"
"6.1.2.3","management-and-governance-services","Ensure that Activity Log Alert exists for Create or Update Network Security Group","Level 1","Create an Activity Log Alert for the Create or Update Network Security Group event.","Monitoring for Create or Update Network Security Group events gives insight into network access changes and may reduce the time it takes to detect suspicious activity. Look for Microsoft.Network/networkSecurityGroups/write in the output","-","az monitor activity-log alert list --subscription <subscription ID> --query ""[].{Name:name,Enabled:enabled,Condition:condition.allOf,Actions:actions}""","az monitor activity-log alert create --resource-group ""<resource group name>"" --condition category=Administrative and operationName=Microsoft.Network/networkSecurityGroups/write and level=verbose --scope ""/subscriptions/<subscription ID>"" --name ""<activity log rule name>"" --subscription <subscription id> --action-group <action group ID>","1","0","1","condition.allOf[*].equals","Microsoft.Network/networkSecurityGroups/write","eq"
"6.1.2.4","management-and-governance-services","Ensure that Activity Log Alert exists for Delete Network Security Group","Level 1","Create an activity log alert for the Delete Network Security Group event","Monitoring for ""Delete Network Security Group"" events gives insight into network access changes and may reduce the time it takes to detect suspicious activity. HINT: Look for Microsoft.Network/networkSecurityGroups/delete in the output","-","az monitor activity-log alert list --subscription <subscription ID> --query ""[].{Name:name,Enabled:enabled,Condition:condition.allOf,Actions:actions}""","az monitor activity-log alert create --resource-group ""<resource group name>"" --condition category=Administrative and operationName=Microsoft.Network/networkSecurityGroups/delete and level=<verbose | information | warning | error | critical> --scope ""/subscriptions/<subscription ID>"" --name ""<activity log rule name>"" -- subscription <subscription id> --action-group <action group ID>","1","0","1","condition.allOf[*].equals","Microsoft.Network/networkSecurityGroups/delete","eq"
"6.1.2.5","management-and-governance-services","Ensure that Activity Log Alert exists for Create or Update Security Solution","Level 1","Create an activity log alert for the Create or Update Security Solution event","Monitoring for Create or Update Security Solution events gives insight into changes to the active security solutions and may reduce the time it takes to detect suspicious activity. HINT: Look for Microsoft.Security/securitySolutions/write in the output","-","az monitor activity-log alert list --subscription <subscription Id> --query ""[].{Name:name,Enabled:enabled,Condition:condition.allOf,Actions:actions}""","az monitor activity-log alert create --resource-group ""<resource group name>"" --condition category=Administrative and operationName=Microsoft.Security/securitySolutions/write and level=<verbose | information | warning | error | critical> --scope ""/subscriptions/<subscription ID>"" --name ""<activity log rule name>"" -- subscription <subscription id> --action-group <action group ID>","1","0","1","condition.allOf[*].equals","Microsoft.Security/securitySolutions/write","eq"
"6.1.2.6","management-and-governance-services","Ensure that Activity Log Alert exists for Delete Security Solution","Level 1","Create an activity log alert for the Delete Security Solution event.","Monitoring for Delete Security Solution events gives insight into changes to the active security solutions and may reduce the time it takes to detect suspicious activity. HINT: Look for Microsoft.Security/securitySolutions/delete in the output","-","az monitor activity-log alert list --subscription <subscription Id> --query ""[].{Name:name,Enabled:enabled,Condition:condition.allOf,Actions:actions}""","az monitor activity-log alert create --resource-group ""<resource group name>"" --condition category=Administrative and operationName=Microsoft.Security/securitySolutions/delete and level=<verbose | information | warning | error | critical> --scope ""/subscriptions/<subscription ID>"" --name ""<activity log rule name>"" -- subscription <subscription id> --action-group <action group ID>","1","0","1","condition.allOf[*].equals","Microsoft.Security/securitySolutions/delete","eq"
"6.1.2.7","management-and-governance-services","Ensure that Activity Log Alert exists for Create or Update SQL Server Firewall Rule","Level 1","Create an activity log alert for the Create or Update SQL Server Firewall Rule event.","Monitoring for Create or Update SQL Server Firewall Rule events gives insight into network access changes and may reduce the time it takes to detect suspicious activity. HINT: Look for Microsoft.Sql/servers/firewallRules/write in the output","There will be a substantial increase in log size if there are a large number of administrative actions on a server.","az monitor activity-log alert list --subscription <subscription Id> --query ""[].{Name:name,Enabled:enabled,Condition:condition.allOf,Actions:actions}""","","1","0","1","condition.allOf[*].equals","Microsoft.Sql/servers/write","eq"
"6.1.2.8","management-and-governance-services","Ensure that Activity Log Alert exists for Delete SQL Server Firewall Rule","Level 1","Create an activity log alert for the ""Delete SQL Server Firewall Rule.""","Monitoring for Delete SQL Server Firewall Rule events gives insight into SQL network access changes and may reduce the time it takes to detect suspicious activity. HINT: Look for Microsoft.Sql/servers/firewallRules/delete in the output","There will be a substantial increase in log size if there are a large number of administrative actions on a server.","az monitor activity-log alert list --subscription <subscription Id> --query ""[].{Name:name,Enabled:enabled,Condition:condition.allOf,Actions:actions}""","az monitor activity-log alert create --resource-group ""<resource group name>"" --condition category=Administrative and operationName=Microsoft.Sql/servers/firewallRules/delete and level=<verbose | information | warning | error | critical> --scope ""/subscriptions/<subscription ID>"" --name ""<activity log rule name>"" -- subscription <subscription id> --action-group <action group ID>","1","0","1","condition.allOf[*].equals","Microsoft.Sql/servers/delete","eq"
"6.1.2.9","management-and-governance-services","Ensure that Activity Log Alert exists for Create or Update Public IP Address rule","Level 1","Create an activity log alert for the Create or Update Public IP Addresses rule.","Monitoring for Create or Update Public IP Address events gives insight into network access changes and may reduce the time it takes to detect suspicious activity. HINT: Look for Microsoft.Network/publicIPAddresses/write in the output","There will be a substantial increase in log size if there are a large number of administrative actions on a server.","az monitor activity-log alert list --subscription <subscription Id> --query ""[].{Name:name,Enabled:enabled,Condition:condition.allOf,Actions:actions}""","az monitor activity-log alert create --resource-group ""<resource group name>"" --condition category=Administrative and operationName=Microsoft.Network/publicIPAddresses/write and level=<verbose | information | warning | error | critical> --scope ""/subscriptions/<subscription ID>"" --name ""<activity log rule name>"" -- subscription <subscription id> --action-group <action group ID>","1","0","1","condition.allOf[*].equals","Microsoft.Network/publicIPAddresses/write","eq"
"6.1.2.10","management-and-governance-services","Ensure that Activity Log Alert exists for Delete Public IP Address rule","Level 1","Create an activity log alert for the Delete Public IP Address rule.","Monitoring for Delete Public IP Address events gives insight into network access changes and may reduce the time it takes to detect suspicious activity. HINT: Look for Microsoft.Network/publicIPAddresses/delete in the output","There will be a substantial increase in log size if there are a large number of administrative actions on a server.","az monitor activity-log alert list --subscription <subscription Id> --query ""[].{Name:name,Enabled:enabled,Condition:condition.allOf,Actions:actions}""","az monitor activity-log alert create --resource-group ""<resource group name>"" --condition category=Administrative and operationName=Microsoft.Network/publicIPAddresses/delete and level=<verbose | information | warning | error | critical> --scope ""/subscriptions/<subscription ID>"" --name ""<activity log rule name>"" -- subscription <subscription id> --action-group <action group ID>","1","0","1","condition.allOf[*].equals","Microsoft.Network/publicIPAddresses/delete","eq"
"6.1.2.11","management-and-governance-services","Ensure that an Activity Log Alert exists for Service Health","Level 1","Create an activity log alert for Service Health","Monitoring for Service Health events provides insight into service issues, planned maintenance, security advisories, and other changes that may affect the Azure services and regions in use. HINT: Ensure an alert exists for ServiceHealth with scopes set to a subscription ID.","There is no charge for creating activity log alert rules","az monitor activity-log alert list --subscription <subscription-id> ///     az monitor activity-log alert show --subscription <subscription-id> -- resource-group <resource-group> --activity-log-alert-name <activity-logalert>","az monitor activity-log alert create --subscription <subscription-id> -- resource-group <resource-group> --name <alert-rule> --condition category=ServiceHealth and properties.incidentType=Incident --scope /subscriptions/<subscription-id> --action-group <action-group>","2","0","1","","Service Health alert attivo con notifica email","custom"
